土地用途,数量
工业用地,621151
其他普通商品住房用地,579785
其他商服用地,223891
城镇住宅-普通商品住房用地,204229
中低价位、中小套型普通商品住房用地,148398
公共设施用地,135817
城镇村道路用地,130067
公路用地,122796
公园与绿地,108346
经济适用住房用地,96852
公用设施用地,88480
工矿仓储用地,87772
批发零售用地,61596
街巷用地,61430
科教用地,60347
机关团体用地,52819
商务金融用地,50224
教育用地,44723
仓储用地,44145
其他住房用地,42533
零售商业用地,33418
商服用地,27426
医卫慈善用地,24170
城镇住宅-经济适用住房用地,20251
住宿餐饮用地,20113
采矿用地,16390
廉租住房用地,15580
公共管理与公共服务用地,13104
城镇住宅-用于安置的商品住房用地 ,13066
医疗卫生用地,13013
铁路用地,13010
交通服务场站用地,11816
其他土地,11379
文体娱乐用地,11258
水工建筑用地,9319
公共租赁住房用地,9286
二类工业用地,8503
普通商品住房用地(二类),8262
文化设施用地,8038
公园绿地,7703
旅馆用地,6764
社会福利用地,5876
交通运输用地,5118
殡葬用地,4602
一类工业用地,4569
科研用地,4466
空闲地,4395
军事设施用地,4175
城镇住宅-共有产权住房用地,3575
风景名胜设施用地,3506
宗教用地,3501
港口码头用地,3203
体育用地,3151
其他商业服务业用地,3139
城镇住宅-公共租赁住房用地,3103
监教场所用地,3080
水库水面,2972
防护绿地,2806
轨道交通用地,2797
普通商品住房用地(一类),2751
供电用地,2603
批发市场用地,2350
管道运输用地,2287
其他公用设施用地,2271
用于安置的商品住房用地(二类),2082
机场用地,2072
保障性租赁住房,1957
高档住宅用地,1879
中小学用地,1840
三类工业用地,1741
餐饮用地,1729
河流水面,1711
水工设施用地,1635
娱乐用地,1437
社会停车场用地,1066
住宅用地,1022
排水用地,885
农村宅基地,864
新闻出版用地,794
沟渠,732
经济适用住房用地(二类),724
供水用地,724
一类物流仓储用地,695
文化活动用地,653
医院用地,592
用于安置的商品住房用地(一类),588
幼儿园用地,580
公用设施营业网点用地,577
环卫用地,563
供燃气用地,518
公共交通场站用地,505
二类物流仓储用地,494
高等教育用地,472
城市轨道交通用地,448
经济适用住房用地(三类),392
农村道路,390
老年人社会福利用地,372
广场用地,359
普通商品住房用地(三类),341
城镇住宅-租赁型商品住房用地,340
消防用地,330
其他交通设施用地,293
中等职业教育用地,291
设施农用地,290
体育场馆用地,279
基层医疗卫生设施用地,247
其他教育用地,239
供热用地,239
其他社会福利用地,225
城镇社区服务设施用地,181
保障性租赁住房用地(二类),178
经济适用住房用地(一类),140
公共卫生用地,138
储备库用地,130
体育训练用地,125
对外交通场站用地,123
图书与展览用地,112
用于安置的商品住房用地(三类),91
其他特殊用地,84
盐田,82
坑塘水面,80
三类物流仓储用地,79
公共租赁住房用地(二类),72
通信用地,66
保障性租赁住房用地(一类),64
湖泊水面,61
文物古迹用地,59
城镇住宅用地,59
水域及水利设施用地,54
共有产权住房用地(一类),50
共有产权住房用地(二类),47
配售型保障房(二类),47
保障性租赁住房用地(三类),39
特殊用地,38
内陆滩涂,34
公共租赁住房用地(一类),29
二类城镇住宅,27
邮政用地,21
农村社区服务设施用地,19
儿童社会福利用地,18
残疾人社会福利用地,18
共有产权住房用地(三类),16
配售型保障房(一类),16
公共租赁住房用地(三类),13
种植设施建设用地,12
广播电视设施用地,10
使领馆用地,9
村道用地,7
配售型保障房(三类),5
租赁型商品住房用地(二类),5
田间道,4
畜禽养殖设施建设用地,4
商业用地,2
沿海滩涂,2
沼泽地,2
裸岩石砾地,1
裸土地,1
盐碱地,1
水产养殖设施建设用地,1
租赁型商品住房用地(一类),1
二类农村宅基地,1
